recipient,amount,error
8yNfNDCN5tGDnMWg9CNHfTNUR9dVsqJa7FeuyGR7WaL,0.076211,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
ktdUS6ap55nzSLpJ4KR1Tz3hBRzVuipaQTZTAyuPz3G,0.000093,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
5WR9NcSvaf1Vfytz5v6YxkehRoVYuaABMLwzqT34jdw5,0.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
YrSeSNsZgu64hshrPwn7w61hnHXytKp167p92BxDCST,0.078163,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
GEFZbTcnMQzqcFaob7oFch3XRBKsqXzYbtJQL7eaN2M7,0.012341,error: parse error: expected RpcBlockhashFeeCalculator or RpcFees
AsTey9YCVNJRBzeS1s9G7LtBz2FzWPXaaVHz5MtbyoTo,0.378418,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
CyAH9f9awBcfuZqHzwwEs4uJBLEG33S743jxnQX1KcZ6,3387.984970,Error: Sender has insufficient funds  current balance is 1091.52373613
9K33ctJs72mwWjWPD8ZJ52gYhx27HVnwxKE54c2aCrmo,1781.190061,Error: Sender has insufficient funds  current balance is 1064.08046997
7P7czTQx3gmHkAKMa4HfZ5WYfwfNNuvWekzLFjmax915,798.376308,Error: Sender has insufficient funds  current balance is 241.546826725
7AsarGeuqWgZvJcs1xkwKQncF7zUkud4fPZPccYAj3iX,0.000082,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
C54QGFtssvHKG7TPpTiDzK8zMzj8KMSuUNzxPogajk7E,22.200559,Error: Sender has insufficient funds  current balance is 2.423185208
4BzjhVSEGaJyAaXBmmdgccSpDdUwAujC5g4AvYWzFywW,78.776480,Error: Sender has insufficient funds  current balance is 2.423185208
BF6wzXhQncSf9rRguq3ep8Mapsk3vAnkzggMZYqcZDzf,1.567409,Error: Sender has insufficient funds  current balance is 0.337990291
CmEfQFLqh5K15w6fNLpj5A5KcNsWWRC8DwzzZNxxfnZg,0.480152,Error: Sender has insufficient funds  current balance is 0.337990291
H4Y6dpiMZAvEeXe55EbYmn2tpHdJdyANXNNNDGpB77Ua,14.546980,Error: Sender has insufficient funds  current balance is 0.294578352
DGBXztcqdQwNBbKt3az5ahkx2e49ouwjn93aUTtJBmPU,3.194307,Error: Sender has insufficient funds  current balance is 0.17857709
2eJn3SKg4Jo8HBUEimVkuuUNSvyMaWEgrAfAN1Fs8mYx,0.920789,Error: Sender has insufficient funds  current balance is 0.170999713
F675rjBsUV4CUwcTonb7qnk7DYgGZKaKM1D9k4AP4rVx,0.222068,Error: Sender has insufficient funds  current balance is 0.170999713
7cyb6yJZGM17BqKo8LfGsNLxfxNddfafe8yvhv3BscDs,0.422440,Error: Sender has insufficient funds  current balance is 0.170999713
BFFpEVFEqvk8cYT2XvcH4Jvhkx1V2Zs6gEuhuTC246An,4.919871,Error: Sender has insufficient funds  current balance is 0.170999713
A3JBukdN8zos79QW5BUES66ZW2voLjcijv7QCxKNusor,0.207206,Error: Sender has insufficient funds  current balance is 0.170999713
4tzMpDrU6HBJzx2W2wZeywievttcyd6P6Q7ZDfFSaoUQ,6.146758,Error: Sender has insufficient funds  current balance is 0.127139854
G2UZqHn68QdagHHpqJmAgHo6TEgC45pLqisAEwSsnZUv,3.024324,Error: Sender has insufficient funds  current balance is 0.127139854
