recipient,amount,signature
ARPqNbZsSEhzYUoHnbsYFFsXH2uLiP8hpZBPimfsrr27,1425.212427,3ynGiY2Qz9XFdZQDBLa8qHfujXt5drho94JqiNCu8EmwaKXNy1Eq1kdn8jogjwdyPD5AqPeb4Y2F4YtpQTv9znF7
7ZsB85RRYN7zAE4FUrdbN2kVUyFJryj4PfX4YbPKb6C2,0.057571,4d9rWHVS6uY952ofbnPKFHKMRj5vpihDCGs117CDTkKXxoSWmXCnHwJKu29z7YH5M2H5jmgZgdsw2CrYezAQXVRa
2G3px1cxpjvThsC68hHX6osRD494GMFDNSrRyMKGB12w,0.008942,5FWY5m7efiF4tLgMZVH52tipfw2RxadKmwtyHyrwbbP63VXExULyk9nKbaM4KEmizcS5kkb5AWW3WeoGvjuAp5A7
E5A7uzhMyGzL6hHUXaC2QVxoNmh8pRm6HhK16TRTvdGx,0.226092,4xF3iqrZ63D5z6PcijZNcZbGYifaXCH1nhk4HUUuX5XFfu1B2p3NoVQ19q49S1tR9fQza2rq796H8rrpWtwbbi8y
DvitucAxxBKZFSMBUzKvxvuAu5Hhn5zZV3Wuk8Vg4YnX,0.131346,2jxcrkzkrRKLvH1W3UM21D58gd96jsVy5toy4y8Niwim2BQVsi2brGrDifcH5n8t577MP3r1yEXydoL95zyDydFL
ApJ48xWtb3qmppDMGwvRxdnf4utH2rYoW6pFyd8Ynzud,0.560843,wq5vtedsibpRsRdL2RWyw1zniZA4R9dCVtE1dyp9ukF7pntxXd1sUaniGroH5p1bh9UH3pkzu8astRUwKLdKkVr
6jDcLen2PyefLkgBBGwHqyDmxbs5DScb9uzsQA4Upu1x,0.227064,38SrkzX7CuTsM3JuZeENwjWLCnbsRonVGGVmFSLRxVe7NsUnJHuVKwYuKVKV41oDdeXyeP9qPXqTz41kZjYkJMmA
EPwSitK3GJ3MKzR5kUMG5MZZHSQmbgKE982BeiJC1DKH,0.189220,3YwruRx4BS7nMBvkUmQp6yocDNP6ggNXihY221qxVaHFx6Jr18dSFN3UxLAwmRdBPvdQa6Z8c7mXnZbCKzwg5RCR
E57W5yRETjBERoLgFmoK65jnQT4YX6Dz8oCQFoEFNVrD,8.652402,U4xuBDFUdXirJ8QX6dhW5USKXzmvXSMi7eR9giykULG6kiS3GKXLPQs3uZMJD2yKaaiynvSdXCVjYjynLdhT46b
9j44gJKCw1NVVthxkbs7LPfsnxzeQneTzB1qEiMu8QWB,0.908710,hLckqon5VGqypp8z2aBMugPtUfnfkS3KzoML9pxjCv9w2DpRJ5e42t87fSm9UA6LLeWv6UAUHH2qMQntXHHPDNX
7nvnBxw4w94zcUWRwk1sZsCzWZ7L7QKrB95BNX8uw8Tx,0.413255,3JkUcKSTADQc9k6LTo3naRjbq48kWXa2biC98tnDGaEFYWQpvUangjW8CHmUBiz4zV1zw6SWzJETUWuLG3ZV452E
